P X Y Z
RTCM-Ref_0015 430102.179 4576921.609 51.084
GPS0001 428219.181 4575366.804 2.941
GPS0002 428203.253 4575288.839 3.390
GPS0003 428600.450 4575036.662 3.036
GPS0003_a 428600.459 4575036.664 3.021
GPS0005 428554.442 4574817.080 2.983
GPS0005_aA 428554.453 4574817.105 3.006
GPS0007 427998.549 4574904.398 3.533
GPS0007_a 427998.548 4574904.395 3.543
GPS0008 427166.033 4574943.866 3.513
GPS0008_a 427166.027 4574943.871 3.538
GPS0008_b 427166.042 4574943.870 3.534
GPS0009 427344.198 4574933.986 4.358
GPS009_b 427344.199 4574933.989 4.351
GPS011 427691.165 4574875.797 3.980
GPS012 427774.736 4574900.665 3.556
GPS013 427876.693 4575173.016 3.613
GPS013_a 427876.682 4575172.986 3.602
GPS014_a 427876.687 4575173.000 3.608
GPS013_b 427876.686 4575173.005 3.615
