#       Id       X-utm          Y-utm           OH   
#      ----     -------        -------         ----  
         1    434026.3097   4595461.5249     64.0687 
         2    434024.4533   4595449.6063     64.1296 
         3    433865.3172   4590263.5211     58.7951 
         4    435577.3576   4590565.9734     82.4003 
         5    432846.4465   4591390.6511     70.1362 
         6    432845.1003   4591389.5464     69.9568 
         7    432654.4415   4589783.8343     35.2785 
         8    435110.3338   4589780.3883     50.4542 
         9    432967.3508   4590120.0613     27.9414 
        10    432932.8847   4590111.6968     26.9815 
        11    437374.6168   4595166.2244    258.4855 
        12    436705.1107   4594914.9628    179.1625 
        13    438888.6895   4595247.9357    484.9857 
        14    437226.1791   4595449.8148    207.9278 
        15    436524.0932   4595931.5543    122.0684 
        16    437303.8330   4592958.2344    320.2892 
        17    437382.4292   4594409.0316    211.7741 
        18    437444.2948   4592935.3428    323.6167 
        19    435857.2456   4593642.9384    362.3247 
        20    438795.5716   4591306.4108     60.7277 
        21    436863.8428   4591359.1489    107.8695 
        22    437965.4623   4589917.9818     12.5029 
        23    437988.2068   4589884.3802     11.5851 
        24    439819.7430   4595754.1498    356.6061 
        25    441424.9502   4595831.5856    248.0785 
        26    441377.7111   4595861.2806    252.0019 
        27    441795.8020   4593064.7135     45.5027 
        28    441580.6490   4593288.1858     61.3467 
        29    441102.2004   4594566.6265    121.4944 
        30    439342.0232   4593528.3975    164.2220 
        31    441051.8090   4591629.9238     11.5879 
        32    441012.3503   4591634.2407     12.7007 
        33    440422.9536   4591556.3371     36.7407 
